GeoID,x_coor,y_coor,y,yhat,residual,influ,CooksD,beta_Intercept,beta_z_pct_bachelor_higher,beta_z_gini,beta_z_pct_manuf,beta_z_log_pop_den,beta_z_log_3rd_party,se_Intercept,se_z_pct_bachelor_higher,se_z_gini,se_z_pct_manuf,se_z_log_pop_den,se_z_log_3rd_party,t_Intercept,t_z_pct_bachelor_higher,t_z_gini,t_z_pct_manuf,t_z_log_pop_den,t_z_log_3rd_party
1107.0,-9806043.626,3932653.772,0.480739952,0.8358064923532988,-0.3550665403532988,0.09110341649106865,0.001721135292030665,-1.5069091095779927,0.9323354275299666,0.4603745704542,0.016596832465748806,-0.06420395672935272,-0.9291179143393428,0.3338882273580139,0.22479975006761205,0.12300190681308931,0.16690348025333052,0.2983438037787608,0.18303605896574293,-4.513214261855958,4.1474041997357745,3.7428246633100892,0.09943970275849069,-0.21520124070337213,-5.076146851005117
1109.0,-9566896.352,3737415.999,0.32070502100000003,0.18131406412188067,0.13939095687811937,0.14223035162127529,0.0004649539305985415,-1.8802359311915686,0.9592463749867085,0.35120815689200385,0.06770438616862952,0.21168100948239912,-1.1908231429302747,0.33958565892562187,0.21134174760300856,0.12325917787440918,0.1526573447114582,0.2919578738538814,0.1976782251408104,-5.536853167298768,4.53883998720683,2.8493469042107002,0.44350559284651137,0.7250395637157603,-6.02404813217048
1111.0,-9513280.185,3934362.252,-0.737217467,0.0019120496027751344,-0.7391295166027751,0.11162786875890249,0.00956563188034219,-1.819994860363541,0.9616097567351194,0.36546800317928535,0.07722772896241153,0.18243282948211864,-1.1502594729242768,0.3384079715689637,0.21109673159869388,0.1243139441091012,0.15197221713726808,0.29512538633840224,0.19675655696290273,-5.3781087127631295,4.555303862132696,2.9398793980709113,0.5081700485599681,0.6181536320732981,-5.846104905876917
1113.0,-9482671.058,3801207.548,1.041118375,-0.47218009270317696,1.5132984677031769,0.06725265933503273,0.021913936485921093,-1.9025645821747856,0.9700541640072432,0.34557897109673535,0.07964019249344408,0.2311931876265677,-1.2058841286542923,0.345226629908446,0.21125505517785978,0.12450716192719977,0.15276565555003213,0.2956105413733185,0.2017310072580486,-5.5110597426373085,4.591862491482325,2.7755750412076523,0.5213226245565463,0.7820870884797039,-5.977683574998262
1115.0,-9608512.502,3990687.499,-1.243317497,-1.0974165520410821,-0.14590094495891792,0.08537575284500376,0.0002689398296541732,-1.7128282846157081,0.9473215793998995,0.39351870738702943,0.06738417825830104,0.11216195309557032,-1.0757060529434166,0.3294895511683182,0.21287626355468292,0.12365001048317922,0.15289868591404404,0.29327259919319115,0.18928846124095966,-5.198429748507314,4.450104316851441,3.1825206148329594,0.4407112975201291,0.3824494801223638,-5.682892902669163
1117.0,-9647089.837000001,3930438.602,-0.6732357379999999,0.5219560780988547,-1.1951918160988546,0.3497903537642663,0.146307309686881,-1.7712940138911082,0.9543255587302982,0.38218656381878896,0.06620436890956799,0.14481980102316477,-1.113541689160248,0.3344575283595289,0.2114235335792162,0.12294624543652712,0.1517336877383132,0.2933007437979005,0.19315064198074972,-5.296020761078625,4.513809520512679,3.108566369487864,0.43631951411967956,0.493758724058856,-5.765146197501268
1119.0,-9818276.12,3841242.4760000003,2.563331271,1.1608535026628106,1.4024777683371894,0.17409193739230275,0.06214368593815846,-1.4990863622601134,0.8947443094224494,0.44693363281814075,-0.026917425260291672,-0.06267663675410329,-0.942999671941226,0.30870617611120393,0.2148507823741337,0.11996196020543616,0.15555146830897434,0.2839723366119279,0.1721898810665301,-4.856029708068114,4.164491744155591,3.725627957835651,-0.17304513774710995,-0.22071388185869734,-5.47651038551373
1121.0,-9591923.477,3945902.3239999996,0.156372192,-0.2406798500802454,0.39705204208024536,0.10849653677794922,0.002664124186061754,-1.7814103694362151,0.9560906801042801,0.3772152698683683,0.07148689056120423,0.15534335626742513,-1.122194370319998,0.3348179735885504,0.21131594521800176,0.12355667121669185,0.15178750094627583,0.29386139899984565,0.19377455003008565,-5.320533872011741,4.524460655905259,3.052973717678212,0.47096691173871125,0.5286279749437479,-5.791237136898343
1123.0,-9550930.514,3877160.748,-0.358597365,0.20177920932980897,-0.560376574329809,0.07761069502114586,0.0035460331401790525,-1.8621778927540573,0.9662037888514663,0.3567409852277264,0.0765464490616716,0.20598980459977434,-1.1775763853071248,0.3422132909832962,0.2106715762203389,0.12411296162963212,0.1517439786883843,0.29530732249824404,0.19955673623552977,-5.441570920297634,4.586303507032791,2.8743249741496304,0.504444721453261,0.6975438429942732,-5.900960335998245
1125.0,-9743322.006000001,3933803.0130000003,0.342515296,0.17953857130025574,0.16297672469974428,0.08425203310431043,0.00033034628380255863,-1.6416525370631285,0.9377744241614562,0.4195620620455683,0.043494863374702514,0.0485160210310299,-1.023117086700252,0.326587610487241,0.21472115309985867,0.12138658255269812,0.1549769125385553,0.2908688806377212,0.18476392493801638,-5.026683451383604,4.367405868602675,3.456412176884722,0.28065382554244533,0.16679687742690105,-5.53742884084911
1127.0,-9717894.815,4002435.084,-1.199818847,-1.029231031029709,-0.17058781597029093,0.22384289559850123,0.0013385353643949177,-1.5958149979607414,0.9370725267586931,0.432661946350957,0.057064336571196875,0.02624187417968268,-0.9865246703710703,0.3282183641353414,0.21940072964697724,0.12383683188113283,0.159605356310761,0.2953117451050365,0.18368661326758948,-4.862052743955254,4.271054742007799,3.493806646848459,0.35753396934930715,0.08886160003676444,-5.3706944279816895
1129.0,-9819295.072,3685847.6160000004,-0.40453296899999996,-0.5723791961623625,0.16784622716236258,0.1895314486112198,0.0010062870991688988,-1.7238902104677503,0.8888919188637343,0.391890151040018,-0.040985841836994996,0.08130060839441977,-1.09047475525752,0.33795629950192074,0.22724615690443103,0.12757167265956668,0.1667648134904898,0.3109313595499362,0.19275011616597826,-5.100926400864301,3.911581744537753,3.0719213981445743,-0.24577032156326142,0.26147445697371907,-5.657453167595011
1131.0,-9719073.954,3761927.211,2.3338502919999997,2.6470949149066354,-0.3132446229066357,0.14397581993326672,0.0023865719728553324,-1.745509822393888,0.9266121166718411,0.3850530309022794,0.03131243044335899,0.11605578006839867,-1.1018399813645814,0.3219603914330879,0.21023069828761773,0.12049922578636205,0.15084872047069683,0.28442175462500696,0.1849752931780275,-5.421504846060086,4.407596627035592,3.195481368361283,0.207575048337527,0.40804115079527326,-5.956687309067418
